subject,trial,face,trial_type,rt,HandScored_scr,raw_scr,scr,response
4,28,0.11,CS,496,,0.033,0.181659021,1
4,29,0.55,CSUS,487,,1.365,1.168332145,2
4,30,0.11,CS,513,,0.079,0.281069386,1
5,1,0.11,CS,1357,,0.7,0.836660027,1
5,2,0.55,CS,1080,,0.529,0.727323862,2
5,3,0.55,CS,1034,,0.018,0.134164079,2
5,4,0.11,CS,1081,,0.016,0.126491106,1
5,5,0.11,CS,863,,0.019,0.137840488,1
5,6,0.55,CS,731,,0.582,0.762889245,2
5,7,0.55,CSUS,828,,3.747,1.935716921,2
5,8,0.11,CS,761,,0.872,0.933809402,1
5,9,0.55,CSUS,817,,2.809,1.67600716,2
5,10,0.55,CS,667,,1.185,1.088577053,2
5,11,0.11,CS,930,,0.088,0.296647939,1
5,12,0.55,CSUS,690,,2.958,1.719883717,2
5,13,0.11,CS,660,,0.117,0.342052628,1
5,14,0.11,CS,766,,0.057,0.238746728,1
5,15,0.55,CS,681,,0.042,0.204939015,2
5,16,0.55,CSUS,864,,3.248,1.802220852,2
5,17,0.11,CS,739,,0.279,0.528204506,1
5,18,0.55,CSUS,740,,2.877,1.696172161,2
5,19,0.11,CS,1050,,0.129,0.3591657,1
5,20,0.55,CSUS,879,,2.932,1.712308383,2
5,21,0.11,CS,670,,0.245,0.494974747,1
5,22,0.55,CS,593,,0.059,0.242899156,2
5,23,0.55,CSUS,642,,3.663,1.913896549,2
5,24,0.11,CS,826,,0.154,0.392428337,1
5,25,0.55,CSUS,906,,3.045,1.744992837,2
5,26,0.11,CS,1123,,0.207,0.454972527,1
5,27,0.11,CS,685,,0.068,0.260768096,1
5,28,0.11,CS,1168,,0.119,0.344963766,1
5,29,0.55,CSUS,729,,3.157,1.776794867,2
5,30,0.11,CS,891,,0.244,0.493963561,1
6,1,0.55,CS,1107,,1.336,1.155854662,2
6,2,0.11,CS,701,,1.3,1.140175425,1
6,3,0.55,CS,632,,0.352,0.593295879,2
6,4,0.11,CS,604,,0.718,0.847348807,1
6,5,0.55,CS,555,,0.527,0.725947657,2
6,6,0.11,CS,605,,0.189,0.434741302,1
6,7,0.55,CSUS,549,,3.266,1.807207791,2
6,8,0.11,CS,551,,0.689,0.830060239,1
6,9,0.55,CSUS,444,,1.765,1.328533026,2
6,10,0.55,CS,781,,2.322,1.523811012,2
6,11,0.11,CS,599,,0.611,0.78166489,1
6,12,0.55,CSUS,536,,2.244,1.497998665,2
6,13,0.11,CS,790,,1.545,1.242980289,1
6,14,0.11,CS,686,,0.482,0.694262198,1
6,15,0.55,CS,1019,,1.728,1.314534138,2
6,16,0.55,CSUS,979,,2.967,1.722498186,2
6,17,0.11,CS,586,,1.617,1.271613149,1
6,18,0.55,CSUS,1252,,2.528,1.589968553,2
6,19,0.11,CS,651,,0.677,0.822800097,1
6,20,0.55,CSUS,935,,2.328,1.52577849,2
6,21,0.11,CS,635,,1.467,1.211197754,1
6,22,0.55,CS,924,,0.842,0.91760558,2
6,23,0.55,CSUS,911,,2.714,1.647422229,2
6,24,0.11,CS,705,,0.256,0.505964426,1
6,25,0.55,CSUS,1036,,2.984,1.727425831,2
6,26,0.11,CS,656,,1.878,1.370401401,1
